id,focus,signal,slack,drag,confidence,score,lane
l001,atlas pressure,35,33,6,25,174,ship
l002,shader drift,35,34,6,55,236,ship
l003,render budget,35,35,6,85,298,ship
l004,geometry span,35,36,18,25,156,ship
l005,atlas pressure,35,37,18,55,218,ship
l006,shader drift,35,38,18,85,280,ship
l007,render budget,35,39,34,25,130,watch
l008,geometry span,35,40,34,55,192,ship
l009,atlas pressure,35,41,34,85,254,ship
l010,shader drift,60,42,6,25,242,ship
l011,render budget,60,43,6,55,304,ship
l012,geometry span,60,44,6,85,366,ship
l013,atlas pressure,60,45,18,25,224,ship
l014,shader drift,60,46,18,55,286,ship
l015,render budget,60,47,18,85,348,ship
l016,geometry span,60,48,34,25,198,ship
l017,atlas pressure,60,32,34,55,226,ship
l018,shader drift,60,33,34,85,288,ship
l019,render budget,85,34,6,25,276,ship
l020,geometry span,85,35,6,55,338,ship
l021,atlas pressure,85,36,6,85,400,ship
l022,shader drift,85,37,18,25,258,ship
l023,render budget,85,38,18,55,320,ship
l024,geometry span,85,39,18,85,382,ship
l025,atlas pressure,85,40,34,25,232,ship
l026,shader drift,85,41,34,55,294,ship
l027,render budget,85,42,34,85,356,ship
